Grouped;Currency;Date;Account;Account Mapped;Amount;Tax Amount;Tax Code;Tax Code Mapped;Tax Percentage
2025-10-01;EUR;2025-10-01;ECOM_PAYMENT;1800;150;0;;;
2025-10-01;EUR;2025-10-01;ECOM_PAYMENT_RECEIVABLE;2010;-150;0;;;
2025-10-02;EUR;2025-10-02;ACCOUNTS_RECEIVABLE_PENDING;1002;-69;0;;;
2025-10-02;EUR;2025-10-02;CARD_RECEIVABLE;2010;-758,5;0;;;
2025-10-02;EUR;2025-10-02;CASH;1400;186;0;;;
2025-10-02;EUR;2025-10-02;CASH_DIFFERENCE;6510;-0,42;0;;;
2025-10-02;EUR;2025-10-02;DEPOSITED_CASH_RECEIVABLE;1404;-180;0;;;
2025-10-02;EUR;2025-10-02;ECOM_PAYMENT;1800;255;0;;;
2025-10-02;EUR;2025-10-02;ECOM_PAYMENT_RECEIVABLE;2010;-455;0;;;
2025-10-02;EUR;2025-10-02;GIFTCARD_PENDING;2031;200;0;;;
2025-10-02;EUR;2025-10-02;PENDING_CASH_EXPENSE;;-5,58;0;;;
2025-10-02;EUR;2025-10-02;SALES;2031;0;0;;;
2025-10-02;EUR;2025-10-02;witte wijn per glas;4040;80;13,884296;VAT_STANDARD;VH;21
2025-10-02;EUR;2025-10-02;Witte wijn per fles;4040;35;6,07438;VAT_STANDARD;VH;21
2025-10-02;EUR;2025-10-02;Warme dranken;4070;27;2,229357;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;rode wijn per glas;4040;48;8,330578;VAT_STANDARD;VH;21
2025-10-02;EUR;2025-10-02;Menus;4000;122;10,073394;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;Lunch;4000;144;11,889909;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;Lekkere Bites;4000;142;11,724769;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;Koude dranken;4050;30,4;2,510094;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;bieren;4030;14;1,155964;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;a la carte;4000;121;9,990825;VAT_REDUCED;VL;9
2025-10-02;EUR;2025-10-02;TIPS_PAYABLE;1803;64,1;0;;;
2025-10-03;EUR;2025-10-03;CARD_RECEIVABLE;2010;-1718;0;;;
2025-10-03;EUR;2025-10-03;CASH;1400;-5;0;;;
2025-10-03;EUR;2025-10-03;CASH_DIFFERENCE;6510;285;0;;;
2025-10-03;EUR;2025-10-03;DEPOSITED_CASH_RECEIVABLE;1404;-260;0;;;
2025-10-03;EUR;2025-10-03;GIFTCARD_PENDING;2031;-132;0;;;
2025-10-03;EUR;2025-10-03;PENDING_CASH_EXPENSE;;-20;0;;;
2025-10-03;EUR;2025-10-03;PRE_PAID;2032;-200;0;;;
2025-10-03;EUR;2025-10-03;SALES;4080;0;0;;;
2025-10-03;EUR;2025-10-03;witte wijn per glas;4040;180;31,239666;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;Witte wijn per fles;4040;99;17,181818;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;Wijn arrangement;4040;56;9,719008;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;Warme dranken;4070;65,5;5,408254;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;Versterkte  wijn per glas;4040;12;2,082644;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;rode wijn per glas;4040;100;17,355368;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;Open prijs;4000;8,5;0,701835;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;Mouserend per glas;4040;107;18,570245;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;Menus;4000;832;68,697248;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;Lunch;4000;58;4,788992;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;Lekkere Bites;4000;185;15,275227;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;Koude dranken;4050;13,5;1,11468;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;bieren;4030;11;1,90909;VAT_STANDARD;VH;21
2025-10-03;EUR;2025-10-03;a la carte;4000;190;15,688075;VAT_REDUCED;VL;9
2025-10-03;EUR;2025-10-03;TIPS_PAYABLE;1803;132,5;0;;;
2025-10-04;EUR;2025-10-04;ACCOUNTS_RECEIVABLE_PENDING;1002;-173,5;0;;;
2025-10-04;EUR;2025-10-04;CARD;2010;86;0;;;
